mint,symbol,migration_time,signature
HyozscgjbugXD5EeEz2EXqP8sbVYUzcLnKc5hXPApump,,2026-09-24T06:32:22Z,2jz4LrS4E6k82ay9e6v8HLeVpj5gPCCV3Rtmeb3G9wwjdpxNEJsSWiWVuNmN1hhgn85mNwVZfJg5rH28uYzHnVji
4VEag3LFESEHP76vBkFUMFbMhL1peqX2LGmkqsbWpump,,2026-09-24T06:38:13Z,d8s1Y69CceK4CreufSqmNhrEXsXW3KMz23YEopNnp3GgfMgdkh9xPpMPxJ6WN5UMMYcoEf18DS9x5gvu94YbvRA
eip41KXkqJEHtoZrZUVgRPhXuNSKrChYRuPbaDZpump,,2026-09-24T06:38:23Z,2kLcLqxxPfNjtjyHufgy1dQP6k9HUafC5Pg1WfM5gP62XEmVvG8QVLjQqyMkni9AxG2PZMaEDJpGGeBHapYw55kT
Emg6BbGwjQc4N4FQD9RLA8MPMXVWWkQxmoPe1WJupump,,2026-09-24T06:40:13Z,2A3BJTF19qzDWtXx9dzjb4fMVn511Ju6nJGnuZGzZJ8zPy74YGE6AQuDVYxTdLgcaqKMGfNjPW5tfYYcQMFit3Nu
Ufwjn7mtvgUfRG4nMSxRS84ewXHzdHLJRGzMDBMpump,,2026-09-24T06:40:45Z,5ire1VryHHayqmJERSpEFniUdBLkm9MqmdcoVi2mTWau9nssfwrJYkn5vg4JCij2JeW5JJhrGThXshCK1MhU2bLX
toHWTuJtKP6vib2BV6tey9x4jBVDycqN5yrnu2Fpump,,2026-09-24T06:40:55Z,4K5EcrfWCvhy6npvfqUSuXrPad24VDb4bubNCQvRsRDVMNTtqXdw7zbeVAVFkwoPFfmWSggzGe5JFXwAArqMZ3jz
A5bAUNKij8u7f3Dg3PuNyuMYcBRXELUm67G7qsrMpump,,2026-09-24T06:41:04Z,3hc7TC317GJG6xk2p1Gb6qFpWp5eWY3SPMWwXqqBWqVmANuab7dqTSQ2zXbi4SuM7iBs4jkKDPAmi71NwvMQWj7E
4nk11wRsFiSyWvGboF2cACaHmG6u9Gv5q8AhJL4Apump,,2026-09-24T06:41:44Z,42xH3vtr6wVsZvj6Z14qw9bRky5sCifc147TbP19eHXNQ3qAgjMoKsefarUHMLUPETZpGyrKhaQBJGCMt7FRbkBo
2r1QzuF3qG3Xq5NTNYG5XkPTsbUF3zWrdTs2JvGHpump,,2026-09-24T06:44:01Z,3NTTRTHF2Bnw1ug662YweqYZfh5na8uTk9763py3QkLLoS6X4FtvJYo1GC1mhzDTkB2FjQjRXWF1gy3GZ7VhapbJ
DmvjByc1BaV849U3Yv7GQPk7h4kKWsFzFi3ACKnQpump,,2026-09-24T06:49:00Z,58Qt8EP7vGyv35RtULUBrYeF1DeA5mnHNPhPdkPM6d9zkei22XUyd84DUhCN5vCzqS4rdUZr319qgfWxa3ZCfjGS
DFQHUegJWE29Xu3BUxPezqi77uyHURRyxJpdtyvLpump,,2026-09-24T06:49:13Z,6QiL2QEG7KQnKuJHffpEtMSWnPAptEhEawEjEsGyoavTzndEATmSBnX9aBB9cjJKrUJaZboepgoZmpnsHEVJQnP
6FibsAcYHERJGr2wYwt5h394Je14SE1LqwcdCa5pump,,2026-09-24T06:52:25Z,4bEqS7YCwy6ePgL3GTLLW1XZA39DobBDyGuxYqX1uhoTXjzZEi6TY14BQ7FJG9UiwveGJVMqJCmsEwcVyitzb9km
AJEbyGAQft4hwaRiVed2ksw4Z3wQdRyECFHdHMyopump,,2026-09-24T06:54:48Z,49uhB71RG2dAqK68s54JHhBrpdE98xoasMSxoevzBdNnoAYCRWv2ot232JrqCJz9MTtXaGBd3rAfxDfLBJYTqDac
jzZRZfiptEVdgwpZjrAadQDrfpKUpmSgmjH6SRPpump,,2026-09-24T06:54:52Z,3YbkQA1L6fqh8S1pUrD9e4ZDpSTra7A3Cb9rGEyBW4grXxgPL3qkB774kZdgPjx9YTDoswWxscLvNNenbVqMHoSb
HjPPetHFWjMCnukKF2unygpx2KYr1Bt4Y8LtRTPDpump,,2026-09-24T06:56:18Z,5z5t6fUoAKxLrPT99h2FFi7iTkw5sGVYoig6kSRmsgAiQvNdkVTjTf4mkEsuoyT8Qp4VbLDG7niryXdCZo8uNLqS
Uw6LHMwZNBi3ShiNT5qtveQTRm178WRrmCvbihHpump,,2026-09-24T06:56:19Z,5oVcL9ojqruJhPrqRgyf9DGms76wxCVphbkr6cFRjEncQsFu6rCs7vrfPySvG8xvBdTsmgjhzQdALmeN8Wf1DvYu
6G8RasXEaL8Syssdq9eCPXfMtRUUb9dKxuZNFqb7pump,,2026-09-24T06:57:41Z,5fnK6mpe4koNwQQNqfjRpjzTFxedsZjPGDg3zqv8FPE4MmrSD1KAtZMw6Ufu1wuf9rT6iyYL23Pu8sPLu41rrxg1
BYSxKqiKSWNZWELRhdvMZqJH6NA9YKBR6L57ZuMPpump,,2026-09-24T06:59:15Z,JG79TW8qZ5HkitShK7a78dmnNg8V3n3MM9YeGf3CtLUdxzK1e3Sxu9Gc6jwwwT7hZAN5gcJwB6Q3tFyUyUh148i
H7iJEyY5wVPb9Gcqc5HE27ZJmVYsnzHHSpaac4Gpump,,2026-09-24T07:01:17Z,3LdkaQwrfHG2kdCdfRDvSQREAYarshEZ8oJhWBF9rwCQiw88yexTdfspu2HUNR58Tdie8cR8uJBdPdpeiGBxc3s4
BvJbyLx3WnVNx7tvb3yGQBJA3VfNf4TfjhtPB9Rdpump,,2026-09-24T07:02:58Z,2CXrxMa82gyhHPR62N1WuJuZ2H4ZLc7bpa6KEHuQG3QBGXMcTLbo1xrh9Tg3dwXWZkyvKozo1yMuo4PxyDTkhgBV
CUH4rb2MLoDTgyNGbt2V4zwvauL17fqWXJdLYrspump,,2026-09-24T07:03:05Z,4Nvo5oJ8e4m5ysMifzFvXDAivnTPhXrLVxKEDXQA1C8aysofeFsYCgQodHNm2AWyE5zUnD7LhXduqz5WAGFhgL5
8L7Qs2Rzu1G7Pf296EDcDc4FCsPAQiSySs13rUErpump,,2026-09-24T07:08:42Z,4LaLEapPaT2mMkLhLirt98rzYrvZ1iLGoDSfB1kQMT6x8XhWiG4pVwEVtyLiNNH3w2XuBb9H1p46B2Exc2s4Uwgq
5Rfquu1UMDHyYqxpi48obim1H2DZ4dbLUnYVRG6qpump,,2026-09-24T07:11:13Z,634t12Cno2FcG26uDzzgATk33kX2n9YSexVx3AkvXyzvGpGRpT7efUoQWfrZgBqcxuzHiJXnkzXuSpdcNr8EGkxw
